SubjectID	Time	GroupSize	Survivors	Offspring	LaggedUnavailable	OffspringLagged	GroupSizeLagged
37	9	3	3	0	0	0	3
38	1	3	3	1	1	NA	NA
38	2	4	4	0	0	1	3
38	3	4	3	1	0	0	4
38	6	4	2	0	1	NA	NA
38	7	3	2	0	0	0	4
38	8	4	1	0	0	0	3
39	1	5	1	0	1	NA	NA
39	2	2	1	0	0	0	5
39	3	2	2	0	0	0	2
39	4	2	0	2	0	0	2
39	7	4	2	0	1	NA	NA
39	8	2	2	0	0	0	4
39	9	2	0	0	0	0	2
40	1	5	3	1	1	NA	NA
40	2	3	3	2	0	1	5
40	3	5	3	2	0	2	3
40	4	4	3	1	0	2	5
40	5	6	5	0	0	1	4
40	6	2	2	0	0	0	6
40	7	3	2	0	0	0	2
41	1	5	3	0	1	NA	NA
41	2	3	3	1	0	0	5
41	3	4	3	0	0	1	3
41	4	3	1	1	0	0	4
41	5	4	4	3	0	1	3
41	6	5	2	2	0	3	4
41	7	4	0	1	0	2	5
41	8	3	3	0	0	1	4
41	9	2	1	0	0	0	3
42	1	2	1	1	1	NA	NA
42	2	3	2	1	0	1	2
42	3	3	3	3	0	1	3
42	4	5	2	0	0	3	3
42	5	2	1	0	0	0	5
42	6	2	2	1	0	0	2
42	7	3	2	0	0	1	2
42	8	2	2	0	0	0	3
42	9	2	1	1	0	0	2
43	1	2	2	1	1	NA	NA
43	2	3	3	1	0	1	2
43	3	4	4	1	0	1	3
43	4	4	2	0	0	1	4
43	5	3	0	0	0	0	4
44	1	3	3	0	1	NA	NA
44	2	3	2	0	0	0	3
44	3	4	2	0	0	0	3
44	4	3	2	0	0	0	4
44	5	2	2	0	0	0	3
44	6	2	0	0	0	0	2
45	1	3	1	1	1	NA	NA
45	2	3	3	0	0	1	3
45	3	3	1	1	0	0	3
45	4	2	2	0	0	1	3
45	5	2	2	1	0	0	2
45	6	3	0	0	0	1	2
46	3	4	1	0	1	NA	NA
46	4	2	2	2	0	0	4
46	5	4	4	1	0	2	2
46	6	4	4	3	0	1	4
46	7	6	5	2	0	3	4
46	8	5	5	0	0	2	6
46	9	5	5	0	0	0	5
47	1	5	2	1	1	NA	NA
47	2	4	3	1	0	1	5
47	3	3	3	0	0	1	4
47	4	2	2	1	0	0	3
47	5	3	1	0	0	1	2
47	6	2	0	0	0	0	3
48	1	3	3	0	1	NA	NA
48	2	3	3	2	0	0	3
48	3	5	2	1	0	2	3
48	4	3	3	0	0	1	5
48	5	3	3	1	0	0	3
48	6	4	4	2	0	1	3
48	7	4	3	0	0	2	4
48	8	4	1	0	0	0	4
48	9	2	1	1	0	0	4
49	1	2	2	0	1	NA	NA
49	2	2	2	0	0	0	2
49	3	2	1	0	0	0	2
49	4	2	2	0	0	0	2
49	5	2	1	1	0	0	2
49	6	3	2	1	0	1	2
49	7	3	2	3	0	1	3
49	8	6	3	2	0	3	3
49	9	6	4	0	0	2	6
50	1	3	3	2	1	NA	NA
50	2	4	4	0	0	2	3
50	3	4	4	2	0	0	4
50	4	4	3	0	0	2	4
50	5	3	3	0	0	0	4
50	6	3	2	3	0	0	3
50	7	4	4	0	0	3	3
50	8	4	2	0	0	0	4
50	9	4	2	1	0	0	4
51	1	4	3	0	1	NA	NA
51	2	3	3	0	0	0	4
51	3	3	2	0	0	0	3
51	4	3	2	2	0	0	3
51	5	5	3	0	0	2	3
51	6	3	2	0	0	0	5
51	7	2	1	0	0	0	3
51	8	2	1	2	0	0	2
51	9	3	3	1	0	2	2
52	1	4	4	1	1	NA	NA
52	2	5	4	0	0	1	4
52	3	4	3	0	0	0	5
52	4	3	2	0	0	0	4
52	5	2	1	2	0	0	3
52	6	4	3	0	0	2	2
52	7	3	3	0	0	0	4
52	8	2	1	0	0	0	3
52	9	2	0	0	0	0	2
53	1	2	1	0	1	NA	NA
53	2	2	1	0	0	0	2
53	3	2	1	0	0	0	2
53	4	2	2	1	0	0	2
53	5	3	2	2	0	1	2
53	6	5	5	2	0	2	3
53	7	6	5	0	0	2	5
53	8	5	3	0	0	0	6
53	9	3	2	1	0	0	5
54	1	5	4	0	1	NA	NA
54	2	4	4	1	0	0	5
54	5	4	2	0	1	NA	NA
54	6	4	3	3	0	0	4
54	7	6	3	1	0	3	4
54	8	4	2	0	0	1	6
54	9	3	3	0	0	0	4
55	1	3	2	0	1	NA	NA
55	2	2	2	0	0	0	3
55	3	2	1	0	0	0	2
55	4	2	1	0	0	0	2
55	5	2	2	0	0	0	2
55	6	2	2	0	0	0	2
55	7	3	2	0	0	0	2
55	8	3	3	0	0	0	3
55	9	3	2	0	0	0	3
56	1	4	2	1	1	NA	NA
56	2	2	0	0	0	1	4
57	1	3	2	0	1	NA	NA
57	2	3	2	0	0	0	3
58	1	3	1	0	1	NA	NA
58	2	3	3	2	0	0	3
58	3	4	1	0	0	2	3
58	4	2	2	0	0	0	4
58	5	3	3	0	0	0	2
58	6	2	2	0	0	0	3
58	7	2	1	0	0	0	2
59	1	5	3	0	1	NA	NA
59	2	3	3	0	0	0	5
59	3	2	1	0	0	0	3
59	4	3	3	1	0	0	2
59	5	4	4	0	0	1	3
59	6	4	4	2	0	0	4
59	7	4	3	2	0	2	4
59	8	4	2	0	0	2	4
59	9	3	0	0	0	0	4
60	1	3	2	1	1	NA	NA
60	2	3	2	0	0	1	3
60	3	2	1	1	0	0	3
60	4	2	1	0	0	1	2
60	5	2	1	0	0	0	2
60	6	2	0	0	0	0	2
60	7	2	0	0	0	0	2
60	8	2	2	0	0	0	2
61	1	5	5	0	1	NA	NA
61	2	4	3	0	0	0	5
61	3	3	2	0	0	0	4
61	4	2	2	1	0	0	3
61	5	4	4	2	0	1	2
61	6	6	3	0	0	2	4
61	7	3	3	1	0	0	6
61	8	4	3	0	0	1	3
61	9	2	1	0	0	0	4
62	1	3	2	0	1	NA	NA
62	2	2	1	2	0	0	3
62	3	4	3	0	0	2	2
62	4	4	2	0	0	0	4
62	5	2	1	0	0	0	4
62	6	3	1	1	0	0	2
62	7	2	0	0	0	1	3
62	8	2	2	0	0	0	2
62	9	3	3	1	0	0	2
63	1	3	2	1	1	NA	NA
63	2	4	3	0	0	1	3
63	3	3	3	0	0	0	4
63	4	4	3	1	0	0	3
63	5	4	3	0	0	1	4
63	6	3	3	0	0	0	4
64	1	2	2	2	1	NA	NA
64	2	4	4	0	0	2	2
64	3	4	2	1	0	0	4
64	4	4	3	1	0	1	4
64	5	4	3	2	0	1	4
64	6	5	4	1	0	2	4
64	7	5	0	0	0	1	5
64	8	3	0	0	0	0	5
64	9	3	1	0	0	0	3
65	1	5	5	2	1	NA	NA
65	2	7	4	2	0	2	5
65	3	6	4	3	0	2	7
